Año;Mes;Glosa;Índice;Variación Mensual (%)
2017;3;Energía;66,98;-0,3
2017;3;Frutas y verduras frescas;62,28;3,8
2017;3;IPC General menos alimentos y energía;76,94;0,4
2017;3;No Transables;76,1;0,7
2017;3;Servicios;75,09;0,8
2017;3;Transables;70,79;0,1
2017;4;Alimentos;63,55;0,5
2017;4;Bienes;72,1;0,2
2017;4;Energía;66,91;-0,1
2017;4;Frutas y verduras frescas;62,16;-0,2
2017;4;IPC General menos alimentos y energía;77,09;0,2
2017;4;No Transables;76,4;0,4
2017;4;Servicios;75,24;0,2
2017;4;Transables;70,86;0,1
2017;5;Alimentos;63,23;-0,5
2017;5;Bienes;71,96;-0,2
2017;5;Energía;66,91;0
2017;5;Frutas y verduras frescas;60,54;-2,6
2017;5;IPC General menos alimentos y energía;77,32;0,3
2017;5;No Transables;76,48;0,1
2017;5;Servicios;75,62;0,5
2017;5;Transables;70,93;0,1
2017;6;Alimentos;62,85;-0,6
2017;6;Bienes;71,6;-0,5
2017;6;Energía;66,98;0,1
2017;6;Frutas y verduras frescas;57,15;-5,6
2017;6;IPC General menos alimentos y energía;77,01;-0,4
2017;6;No Transables;76,48;0
2017;6;Servicios;75,39;-0,3
2017;6;Transables;70,43;-0,7
2017;7;Alimentos;63,29;0,7
2017;7;Bienes;71,6;0
2017;7;Energía;66,31;-1
2017;7;Frutas y verduras frescas;57,09;-0,1
2017;7;IPC General menos alimentos y energía;77,24;0,3
2017;7;No Transables;76,79;0,4
2017;7;Servicios;75,69;0,4
2017;7;Transables;70,5;0,1
2017;8;Alimentos;63,92;1
2017;8;Bienes;71,96;0,5
2017;8;Energía;66,71;0,6
2017;8;Frutas y verduras frescas;60,23;5,5
2017;8;IPC General menos alimentos y energía;77,16;-0,1
2017;8;No Transables;76,71;-0,1
2017;8;Servicios;75,61;-0,1
2017;8;Transables;70,85;0,5
2017;9;Alimentos;63,54;-0,6
2017;9;Bienes;71,82;-0,2
2017;9;Energía;66,51;-0,3
2017;9;Frutas y verduras frescas;59,93;-0,5
2017;9;IPC General menos alimentos y energía;77,16;0
2017;9;No Transables;76,86;0,2
2017;9;Servicios;75,53;-0,1
2017;9;Transables;70,57;-0,4
2017;10;Alimentos;64,11;0,9
2017;10;Bienes;72,25;0,6
2017;10;Energía;67,84;2
2017;10;Frutas y verduras frescas;60,71;1,3
2017;10;IPC General menos alimentos y energía;77,39;0,3
2017;10;No Transables;77,09;0,3
2017;10;Servicios;75,98;0,6
2017;10;Transables;71,21;0,9
2017;11;Alimentos;64,56;0,7
2017;11;Bienes;72,25;0
2017;11;Energía;68,11;0,4
2017;11;Frutas y verduras frescas;63,14;4
2017;11;IPC General menos alimentos y energía;77,31;-0,1
2017;11;No Transables;77,01;-0,1
2017;11;Servicios;76,06;0,1
2017;11;Transables;71,35;0,2
2017;12;Alimentos;64,24;-0,5
2017;12;Bienes;72,18;-0,1
2017;12;Energía;69;1,3
2017;12;Frutas y verduras frescas;62,63;-0,8
2017;12;IPC General menos alimentos y energía;77,46;0,2
2017;12;No Transables;77,32;0,4
2017;12;Servicios;76,36;0,4
2017;12;Transables;71,28;-0,1
2018;1;Alimentos;65,08;1,3
2018;1;Bienes;72,69;0,7
2018;1;Energía;69;0
2018;1;Frutas y verduras frescas;66,2;5,7
2018;1;IPC General menos alimentos y energía;77,69;0,3
2018;1;No Transables;77,63;0,4
2018;1;Servicios;76,51;0,2
2018;1;Transables;71,64;0,5
2018;2;Alimentos;64,69;-0,6
2018;2;Bienes;72,62;-0,1
2018;2;Energía;69,34;0,5
2018;2;Frutas y verduras frescas;64,21;-3
2018;2;IPC General menos alimentos y energía;77,85;0,2
2018;2;No Transables;77,79;0,2
2018;2;Servicios;76,66;0,2
2018;2;Transables;71,57;-0,1
2018;3;Alimentos;64,82;0,2
2018;3;Bienes;72,47;-0,2
2018;3;Energía;68,72;-0,9
2018;3;Frutas y verduras frescas;64,15;-0,1
2018;3;IPC General menos alimentos y energía;78,08;0,3
2018;3;No Transables;78,41;0,8
2018;3;Servicios;77,2;0,7
2018;3;Transables;71,43;-0,2
2018;4;Alimentos;65,08;0,4
2018;4;Bienes;72,69;0,3
2018;4;Energía;69,06;0,5
2018;4;Frutas y verduras frescas;63,51;-1
2018;4;IPC General menos alimentos y energía;78,31;0,3
2018;4;No Transables;78,65;0,3
2018;4;Servicios;77,43;0,3
2018;4;Transables;71,64;0,3
2018;5;Alimentos;64,88;-0,3
2018;5;Bienes;72,84;0,2
2018;5;Energía;70,03;1,4
2018;5;Frutas y verduras frescas;62,94;-0,9
2018;5;IPC General menos alimentos y energía;78,54;0,3
2018;5;No Transables;78,73;0,1
2018;5;Servicios;77,66;0,3
2018;5;Transables;71,93;0,4
2018;6;Alimentos;65,14;0,4
2018;6;Bienes;72,91;0,1
2018;6;Energía;71,08;1,5
2018;6;Frutas y verduras frescas;62,69;-0,4
2018;6;IPC General menos alimentos y energía;78,46;-0,1
2018;6;No Transables;78,89;0,2
2018;6;Servicios;77,74;0,1
2018;6;Transables;71,93;0
2018;7;Alimentos;65,34;0,3
2018;7;Bienes;73,06;0,2
2018;7;Energía;71,93;1,2
2018;7;Frutas y verduras frescas;62,25;-0,7
2018;7;IPC General menos alimentos y energía;78,7;0,3
2018;7;No Transables;79,21;0,4
2018;7;Servicios;78,13;0,5
2018;7;Transables;72,15;0,3
2018;8;Alimentos;65,67;0,5
2018;8;Bienes;73,28;0,3
2018;8;Energía;72,65;1
2018;8;Frutas y verduras frescas;64,18;3,1
2018;8;IPC General menos alimentos y energía;78,7;0
2018;8;No Transables;79,21;0
2018;8;Servicios;78,13;0
2018;8;Transables;72,44;0,4
2018;9;Alimentos;65,93;0,4
2018;9;Bienes;73,43;0,2
2018;9;Energía;73,67;1,4
2018;9;Frutas y verduras frescas;66,94;4,3
2018;9;IPC General menos alimentos y energía;78,86;0,2
2018;9;No Transables;79,53;0,4
2018;9;Servicios;78,52;0,5
2018;9;Transables;72,66;0,3
2018;10;Alimentos;66,39;0,7
2018;10;Bienes;73,87;0,6
2018;10;Energía;73,52;-0,2
2018;10;Frutas y verduras frescas;68,81;2,8
2018;10;IPC General menos alimentos y energía;79,1;0,3
2018;10;No Transables;79,85;0,4
2018;10;Servicios;78,68;0,2
2018;10;Transables;72,88;0,3
2018;11;Alimentos;66,66;0,4
2018;11;Bienes;73,8;-0,1
2018;11;Energía;73,08;-0,6
2018;11;Frutas y verduras frescas;69,7;1,3
2018;11;IPC General menos alimentos y energía;79,1;0
2018;11;No Transables;79,77;-0,1
2018;11;Servicios;78,76;0,1
2018;11;Transables;72,95;0,1
2018;12;Alimentos;66,13;-0,8
2018;12;Bienes;73,21;-0,8
2018;12;Energía;71,84;-1,7
2018;12;Frutas y verduras frescas;67,54;-3,1
2018;12;IPC General menos alimentos y energía;79,34;0,3
2018;12;No Transables;80,09;0,4
2018;12;Servicios;79,23;0,6
2018;12;Transables;72,59;-0,5
2019;1;Alimentos;65,93;-0,3
2019;1;Bienes;73,14;-0,1
2019;1;Energía;70,55;-1,8
2019;1;Frutas y verduras frescas;65,72;-2,7
2019;1;IPC General menos alimentos y energía;79,66;0,4
2019;1;IPC Sin volátiles;78;0,5
2019;1;No Transables;80,41;0,4
2019;1;Servicios;79,47;0,3
2019;1;Transables;72,44;-0,2
2019;2;Alimentos;65,73;-0,3
2019;2;Bienes;72,99;-0,2
2019;2;Energía;69,63;-1,3
2019;2;Frutas y verduras frescas;64,34;-2,1
2019;2;IPC General menos alimentos y energía;79,9;0,3
2019;2;IPC Sin volátiles;78,12;0,1
2019;2;No Transables;80,65;0,3
2019;2;Servicios;79,63;0,2
2019;2;Transables;72,37;-0,1
2019;3;Alimentos;66,26;0,8
2019;3;Bienes;73,21;0,3
2019;3;Energía;69,56;-0,1
2019;3;Frutas y verduras frescas;66,78;3,8
2019;3;IPC General menos alimentos y energía;80,22;0,4
2019;3;IPC Sin volátiles;78,62;0,6
2019;3;No Transables;81,21;0,7
2019;3;Servicios;80,19;0,7
2019;3;Transables;72,59;0,3
2019;4;Alimentos;66,59;0,5
2019;4;Bienes;73,5;0,4
2019;4;Energía;70,53;1,4
2019;4;Frutas y verduras frescas;66,05;-1,1
2019;4;IPC General menos alimentos y energía;80,3;0,1
2019;4;IPC Sin volátiles;78,85;0,3
2019;4;No Transables;81,29;0,1
2019;4;Servicios;80,27;0,1
2019;4;Transables;72,88;0,4
2019;5;Alimentos;66,59;0
2019;5;Bienes;73,65;0,2
2019;5;Energía;73,84;4,7
2019;5;Frutas y verduras frescas;64,6;-2,2
2019;5;IPC General menos alimentos y energía;80,62;0,4
2019;5;IPC Sin volátiles;78,95;0,1
2019;5;No Transables;81,45;0,2
2019;5;Servicios;81,07;1
2019;5;Transables;73,61;1
2019;6;Alimentos;66,92;0,5
2019;6;Bienes;73,65;0
2019;6;Energía;73,54;-0,4
2019;6;Frutas y verduras frescas;64,92;0,5
2019;6;IPC General menos alimentos y energía;80,62;0
2019;6;IPC Sin volátiles;79,01;0,1
2019;6;No Transables;81,45;0
2019;6;Servicios;81,15;0,1
2019;6;Transables;73,68;0,1
2019;7;Alimentos;67,05;0,2
2019;7;Bienes;73,65;0
2019;7;Energía;73,17;-0,5
2019;7;Frutas y verduras frescas;64,08;-1,3
2019;7;IPC General menos alimentos y energía;80,86;0,3
2019;7;IPC Sin volátiles;79,14;0,2
2019;7;No Transables;81,78;0,4
2019;7;Servicios;81,47;0,4
2019;7;Transables;73,75;0,1
2019;8;Alimentos;67,52;0,7
2019;8;Bienes;73,94;0,4
2019;8;Energía;73,24;0,1
2019;8;Frutas y verduras frescas;64,66;0,9
2019;8;IPC General menos alimentos y energía;80,94;0,1
2019;8;IPC Sin volátiles;79,2;0,1
2019;8;No Transables;81,78;0
2019;8;Servicios;81,47;0
2019;8;Transables;74,05;0,4
2019;9;Alimentos;67,52;0
2019;9;Bienes;74,01;0,1
2019;9;Energía;73,02;-0,3
2019;9;Frutas y verduras frescas;65,76;1,7
2019;9;IPC General menos alimentos y energía;81,02;0,1
2019;9;IPC Sin volátiles;79,26;0,1
2019;9;No Transables;81,7;-0,1
2019;9;Servicios;81,39;-0,1
2019;9;Transables;74,12;0,1
2019;10;Alimentos;68,06;0,8
2019;10;Bienes;74,6;0,8
2019;10;Energía;75,14;2,9
2019;10;Frutas y verduras frescas;67,27;2,3
2019;10;IPC General menos alimentos y energía;81,51;0,6
2019;10;IPC Sin volátiles;79,52;0,3
2019;10;No Transables;82,03;0,4
2019;10;Servicios;82,04;0,8
2019;10;Transables;75,01;1,2
2019;11;Alimentos;68,94;1,3
2019;11;Bienes;74,97;0,5
2019;11;Energía;74,61;-0,7
2019;11;Frutas y verduras frescas;69,89;3,9
2019;11;IPC General menos alimentos y energía;81,35;-0,2
2019;11;IPC Sin volátiles;79,55;0
2019;11;No Transables;81,87;-0,2
2019;11;Servicios;81,71;-0,4
2019;11;Transables;75,24;0,3
2019;12;Alimentos;68,6;-0,5
2019;12;Bienes;74,9;-0,1
2019;12;Energía;75,73;1,5
2019;12;Frutas y verduras frescas;68,35;-2,2
2019;12;IPC General menos alimentos y energía;81,43;0,1
2019;12;IPC Sin volátiles;79,62;0,1
2019;12;No Transables;82,2;0,4
2019;12;Servicios;81,96;0,3
2019;12;Transables;75,16;-0,1
2020;1;Alimentos;69,29;1
2020;1;Bienes;75,35;0,6
2020;1;Energía;76,49;1
2020;1;Frutas y verduras frescas;70,26;2,8
2020;1;IPC General menos alimentos y energía;81,76;0,4
2020;1;IPC Sin volátiles;79,86;0,3
2020;1;No Transables;82,45;0,3
2020;1;Servicios;82,37;0,5
2020;1;Transables;75,76;0,8
2020;2;Alimentos;69,78;0,7
2020;2;Bienes;75,8;0,6
2020;2;Energía;76,49;0
2020;2;Frutas y verduras frescas;69,98;-0,4
2020;2;IPC General menos alimentos y energía;82,09;0,4
2020;2;IPC Sin volátiles;80,16;0,4
2020;2;No Transables;82,86;0,5
2020;2;Servicios;82,62;0,3
2020;2;Transables;76,06;0,4
2020;3;Alimentos;70,34;0,8
2020;3;Bienes;76,1;0,4
2020;3;Energía;76,41;-0,1
2020;3;Frutas y verduras frescas;71,66;2,4
2020;3;IPC General menos alimentos y energía;82,34;0,3
2020;3;IPC Sin volátiles;80,69;0,7
2020;3;No Transables;83,19;0,4
2020;3;Servicios;82,79;0,2
2020;3;Transables;76,29;0,3
2020;4;Alimentos;71,04;1
2020;4;Bienes;76,18;0,1
2020;4;Energía;74,73;-2,2
2020;4;Frutas y verduras frescas;73,02;1,9
2020;4;IPC General menos alimentos y energía;82,26;-0,1
2020;4;IPC Sin volátiles;81;0,4
2020;4;No Transables;83,02;-0,2
2020;4;Servicios;82,62;-0,2
2020;4;Transables;76,37;0,1
2020;5;Alimentos;71,04;0
2020;5;Bienes;76,1;-0,1
2020;5;Energía;73,61;-1,5
2020;5;Frutas y verduras frescas;72,58;-0,6
2020;5;IPC General menos alimentos y energía;82,34;0,1
2020;5;IPC Sin volátiles;80,96;0
2020;5;No Transables;83,02;0
2020;5;Servicios;82,62;0
2020;5;Transables;76,29;-0,1
2020;6;Alimentos;71,25;0,3
2020;6;Bienes;75,95;-0,2
2020;6;Energía;72,87;-1
2020;6;Frutas y verduras frescas;71,93;-0,9
2020;6;IPC General menos alimentos y energía;82,26;-0,1
2020;6;IPC Sin volátiles;80,96;0
2020;6;No Transables;83,02;0
2020;6;Servicios;82,62;0
2020;6;Transables;76,14;-0,2
2020;7;Alimentos;71,68;0,6
2020;7;Bienes;76,18;0,3
2020;7;Energía;72;-1,2
2020;7;Frutas y verduras frescas;72,51;0,8
2020;7;IPC General menos alimentos y energía;82,34;0,1
2020;7;IPC Sin volátiles;81,11;0,2
2020;7;No Transables;82,94;-0,1
2020;7;Servicios;82,54;-0,1
2020;7;Transables;76,29;0,2
2020;8;Alimentos;71,82;0,2
2020;8;Bienes;76,33;0,2
2020;8;Energía;71,28;-1
2020;8;Frutas y verduras frescas;72,73;0,3
2020;8;IPC General menos alimentos y energía;82,5;0,2
2020;8;IPC Sin volátiles;81,26;0,2
2020;8;No Transables;82,94;0
2020;8;Servicios;82,54;0
2020;8;Transables;76,44;0,2
2020;9;Alimentos;73,11;1,8
2020;9;Bienes;77,17;1,1
2020;9;Energía;71,49;0,3
2020;9;Frutas y verduras frescas;76,8;5,6
2020;9;IPC General menos alimentos y energía;82,75;0,3
2020;9;IPC Sin volátiles;81,56;0,4
2020;9;No Transables;83,11;0,2
2020;9;Servicios;82,71;0,2
2020;9;Transables;77,2;1
2020;10;Alimentos;73,55;0,6
2020;10;Bienes;77,86;0,9
2020;10;Energía;71,85;0,5
2020;10;Frutas y verduras frescas;77,57;1
2020;10;IPC General menos alimentos y energía;83,33;0,7
2020;10;IPC Sin volátiles;82,05;0,6
2020;10;No Transables;83,53;0,5
2020;10;Servicios;83,12;0,5
2020;10;Transables;77,82;0,8
2020;11;Alimentos;73,7;0,2
2020;11;Bienes;77,63;-0,3
2020;11;Energía;71,56;-0,4
2020;11;Frutas y verduras frescas;78,27;0,9
2020;11;IPC General menos alimentos y energía;83,16;-0,2
2020;11;IPC Sin volátiles;82,06;0
2020;11;No Transables;83,61;0,1
2020;11;Servicios;83,2;0,1
2020;11;Transables;77,59;-0,3
2020;12;Alimentos;73,85;0,2
2020;12;Bienes;77,94;0,4
2020;12;Energía;71,92;0,5
2020;12;Frutas y verduras frescas;78,5;0,3
2020;12;IPC General menos alimentos y energía;83,49;0,4
2020;12;IPC Sin volátiles;82,23;0,2
2020;12;No Transables;83,78;0,2
2020;12;Servicios;83,37;0,2
2020;12;Transables;77,9;0,4
2021;1;Alimentos;74,74;1,2
2021;1;Bienes;78,72;1
2021;1;Energía;73,21;1,8
2021;1;Frutas y verduras frescas;82,5;5,1
2021;1;IPC General menos alimentos y energía;83,91;0,5
2021;1;IPC Sin volátiles;82,69;0,6
2021;1;No Transables;84,12;0,4
2021;1;Servicios;83,7;0,4
2021;1;Transables;78,68;1
2021;2;Alimentos;74,37;-0,5
2021;2;Bienes;78,96;0,3
2021;2;Energía;74,82;2,2
2021;2;Frutas y verduras frescas;80,52;-2,4
2021;2;IPC General menos alimentos y energía;84,08;0,2
2021;2;IPC Sin volátiles;82,72;0
2021;2;No Transables;84,12;0
2021;2;Servicios;83,78;0,1
2021;2;Transables;78,92;0,3
2021;3;Alimentos;74,07;-0,4
2021;3;Bienes;79,12;0,2
2021;3;Energía;76,09;1,7
2021;3;Frutas y verduras frescas;79,8;-0,9
2021;3;IPC General menos alimentos y energía;84,5;0,5
2021;3;IPC Sin volátiles;83,11;0,5
2021;3;No Transables;84,54;0,5
2021;3;Servicios;84,2;0,5
2021;3;Transables;79,08;0,2
2021;4;Alimentos;74,66;0,8
2021;4;Bienes;79,67;0,7
2021;4;Energía;77,31;1,6
2021;4;Frutas y verduras frescas;80,36;0,7
2021;4;IPC General menos alimentos y energía;84,58;0,1
2021;4;IPC Sin volátiles;83,53;0,5
2021;4;No Transables;84,54;0
2021;4;Servicios;84,2;0
2021;4;Transables;79,63;0,7
2021;5;Alimentos;74,51;-0,2
2021;5;Bienes;79,91;0,3
2021;5;Energía;77,93;0,8
2021;5;Frutas y verduras frescas;78,59;-2,2
2021;5;IPC General menos alimentos y energía;84,83;0,3
2021;5;IPC Sin volátiles;83,69;0,2
2021;5;No Transables;84,79;0,3
2021;5;Servicios;84,37;0,2
2021;5;Transables;79,87;0,3
2021;6;Alimentos;74,51;0
2021;6;Bienes;79,83;-0,1
2021;6;Energía;79,18;1,6
2021;6;Frutas y verduras frescas;77,73;-1,1
2021;6;IPC General menos alimentos y energía;84,75;-0,1
2021;6;IPC Sin volátiles;83,59;-0,1
2021;6;No Transables;84,96;0,2
2021;6;Servicios;84,54;0,2
2021;6;Transables;79,79;-0,1
2021;7;Alimentos;75,26;1
2021;7;Bienes;80,87;1,3
2021;7;Energía;81,08;2,4
2021;7;Frutas y verduras frescas;77,34;-0,5
2021;7;IPC General menos alimentos y energía;85,26;0,6
2021;7;IPC Sin volátiles;84,2;0,7
2021;7;No Transables;85,3;0,4
2021;7;Servicios;84,79;0,3
2021;7;Transables;80,75;1,2
2021;8;Alimentos;75,34;0,1
2021;8;Bienes;81,03;0,2
2021;8;Energía;81,89;1
2021;8;Frutas y verduras frescas;77,19;-0,2
2021;8;IPC General menos alimentos y energía;85,6;0,4
2021;8;IPC Sin volátiles;84,36;0,2
2021;8;No Transables;85,73;0,5
2021;8;Servicios;85,21;0,5
2021;8;Transables;80,91;0,2
2021;9;Alimentos;76,92;2,1
2021;9;Bienes;82,33;1,6
2021;9;Energía;82,71;1
2021;9;Frutas y verduras frescas;80,2;3,9
2021;9;IPC General menos alimentos y energía;86,37;0,9
2021;9;IPC Sin volátiles;84,98;0,7
2021;9;No Transables;86,42;0,8
2021;9;Servicios;85,89;0,8
2021;9;Transables;82,12;1,5
2021;10;Alimentos;77,46;0,7
2021;10;Bienes;82,66;0,4
2021;10;Energía;84,86;2,6
2021;10;Frutas y verduras frescas;81,16;1,2
2021;10;IPC General menos alimentos y energía;87,58;1,4
2021;10;IPC Sin volátiles;85,26;0,3
2021;10;No Transables;87,63;1,4
2021;10;Servicios;87,95;2,4
2021;10;Transables;83,19;1,3
2021;11;Alimentos;77,54;0,1
2021;11;Bienes;83,32;0,8
2021;11;Energía;86,05;1,4
2021;11;Frutas y verduras frescas;80,43;-0,9
2021;11;IPC General menos alimentos y energía;88,02;0,5
2021;11;IPC Sin volátiles;85,9;0,7
2021;11;No Transables;87,54;-0,1
2021;11;Servicios;88,13;0,2
2021;11;Transables;84,02;1
2021;12;Alimentos;77,93;0,5
2021;12;Bienes;83,9;0,7
2021;12;Energía;86,05;0
2021;12;Frutas y verduras frescas;79,38;-1,3
2021;12;IPC General menos alimentos y energía;88,81;0,9
2021;12;IPC Sin volátiles;86,48;0,7
2021;12;No Transables;88,24;0,8
2021;12;Servicios;88,92;0,9
2021;12;Transables;84,69;0,8
2022;1;Alimentos;79,18;1,6
2022;1;Bienes;85,07;1,4
2022;1;Energía;86,74;0,8
2022;1;Frutas y verduras frescas;80,89;1,9
2022;1;IPC General menos alimentos y energía;89,79;1,1
2022;1;IPC Sin volátiles;87,52;1,2
2022;1;No Transables;89,3;1,2
2022;1;Servicios;89,72;0,9
2022;1;Transables;85,71;1,2
2022;2;Alimentos;80,61;1,8
2022;2;Bienes;86,18;1,3
2022;2;Energía;88,13;1,6
2022;2;Frutas y verduras frescas;82,18;1,6
2022;2;IPC General menos alimentos y energía;89,52;-0,3
2022;2;IPC Sin volátiles;88,11;0,7
2022;2;No Transables;89,21;-0,1
2022;2;Servicios;89;-0,8
2022;2;Transables;86,22;0,6
2022;3;Alimentos;83,75;3,9
2022;3;Bienes;88,25;2,4
2022;3;Energía;90,42;2,6
2022;3;Frutas y verduras frescas;85,39;3,9
2022;3;IPC General menos alimentos y energía;90,59;1,2
2022;3;IPC Sin volátiles;89,46;1,5
2022;3;No Transables;90,28;1,2
2022;3;Servicios;90,07;1,2
2022;3;Transables;88,2;2,3
2022;4;Alimentos;85,68;2,3
2022;4;Bienes;89,66;1,6
2022;4;Energía;92,68;2,5
2022;4;Frutas y verduras frescas;86,93;1,8
2022;4;IPC General menos alimentos y energía;91,5;1
2022;4;IPC Sin volátiles;90,44;1,1
2022;4;No Transables;91,09;0,9
2022;4;Servicios;91,15;1,2
2022;4;Transables;89,79;1,8
2022;5;Alimentos;87,22;1,8
2022;5;Bienes;90,83;1,3
2022;5;Energía;94,16;1,6
2022;5;Frutas y verduras frescas;88,23;1,5
2022;5;IPC General menos alimentos y energía;92,41;1
2022;5;IPC Sin volátiles;91,25;0,9
2022;5;No Transables;92;1
2022;5;Servicios;92,15;1,1
2022;5;Transables;91,05;1,4
2022;6;Alimentos;88,27;1,2
2022;6;Bienes;91,38;0,6
2022;6;Energía;95,76;1,7
2022;6;Frutas y verduras frescas;85,85;-2,7
2022;6;IPC General menos alimentos y energía;93,15;0,8
2022;6;IPC Sin volátiles;91,84;0,7
2022;6;No Transables;93,01;1,1
2022;6;Servicios;93,35;1,3
2022;6;Transables;91,78;0,8
2022;7;Alimentos;89,95;1,9
2022;7;Bienes;92,84;1,6
2022;7;Energía;99,4;3,8
2022;7;Frutas y verduras frescas;87,14;1,5
2022;7;IPC General menos alimentos y energía;93,99;0,9
2022;7;IPC Sin volátiles;92,66;0,9
2022;7;No Transables;93,85;0,9
2022;7;Servicios;94,38;1,1
2022;7;Transables;93,43;1,8
2022;8;Alimentos;91,75;2
2022;8;Bienes;94,42;1,7
2022;8;Energía;101,39;2
2022;8;Frutas y verduras frescas;87,75;0,7
2022;8;IPC General menos alimentos y energía;94,84;0,9
2022;8;IPC Sin volátiles;93,46;0,9
2022;8;No Transables;94,51;0,7
2022;8;Servicios;94,95;0,6
2022;8;Transables;94,92;1,6
2022;9;Alimentos;93,86;2,3
2022;9;Bienes;95,93;1,6
2022;9;Energía;102,4;1
2022;9;Frutas y verduras frescas;89,33;1,8
2022;9;IPC General menos alimentos y energía;95,22;0,4
2022;9;IPC Sin volátiles;94,4;1
2022;9;No Transables;94,7;0,2
2022;9;Servicios;95,04;0,1
2022;9;Transables;96,25;1,4
2022;10;Alimentos;94,61;0,8
2022;10;Bienes;95,93;0
2022;10;Energía;102,91;0,5
2022;10;Frutas y verduras frescas;90,67;1,5
2022;10;IPC General menos alimentos y energía;95,6;0,4
2022;10;IPC Sin volátiles;94,49;0,1
2022;10;No Transables;95,55;0,9
2022;10;Servicios;96,09;1,1
2022;10;Transables;96,44;0,2
2022;11;Alimentos;96,22;1,7
2022;11;Bienes;97,66;1,8
2022;11;Energía;104,35;1,4
2022;11;Frutas y verduras frescas;93,57;3,2
2022;11;IPC General menos alimentos y energía;96,27;0,7
2022;11;IPC Sin volátiles;95,38;0,9
2022;11;No Transables;95,93;0,4
2022;11;Servicios;96,09;0
2022;11;Transables;97,79;1,4
2022;12;Alimentos;97,28;1,1
2022;12;Bienes;97,86;0,2
2022;12;Energía;103,52;-0,8
2022;12;Frutas y verduras frescas;95,16;1,7
2022;12;IPC General menos alimentos y energía;96,46;0,2
2022;12;IPC Sin volátiles;95,7;0,3
2022;12;No Transables;96,12;0,2
2022;12;Servicios;96,47;0,4
2022;12;Transables;98,18;0,4
2023;1;Alimentos;98,25;1
2023;1;Bienes;98,55;0,7
2023;1;Energía;101,14;-2,3
2023;1;Frutas y verduras frescas;95,92;0,8
2023;1;IPC General menos alimentos y energía;97,52;1,1
2023;1;IPC Sin volátiles;96,8;1,2
2023;1;No Transables;97,18;1,1
2023;1;Servicios;97,34;0,9
2023;1;Transables;98,77;0,6
2023;2;Alimentos;97,96;-0,3
2023;2;Bienes;98,65;0,1
2023;2;Energía;99,72;-1,4
2023;2;Frutas y verduras frescas;93,43;-2,6
2023;2;IPC General menos alimentos y energía;97,72;0,2
2023;2;IPC Sin volátiles;97,53;0,7
2023;2;No Transables;97,18;0
2023;2;Servicios;97,05;-0,3
2023;2;Transables;98,67;-0,1
2023;3;Alimentos;98,35;0,4
2023;3;Bienes;98,85;0,2
2023;3;Energía;99,72;0
2023;3;Frutas y verduras frescas;93,99;0,6
2023;3;IPC General menos alimentos y energía;99,09;1,4
2023;3;IPC Sin volátiles;99,09;1,6
2023;3;No Transables;99,22;2,1
2023;3;Servicios;99,09;2,1
2023;3;Transables;98,97;0,3
2023;4;Alimentos;98,35;0
2023;4;Bienes;99,05;0,2
2023;4;Energía;100,12;0,4
2023;4;Frutas y verduras frescas;93,61;-0,4
2023;4;IPC General menos alimentos y energía;99,49;0,4
2023;4;IPC Sin volátiles;99,77;0,7
2023;4;No Transables;99,91;0,7
2023;4;Servicios;99,59;0,5
2023;4;Transables;98,97;0
2023;5;Alimentos;98,35;0
2023;5;Bienes;99,25;0,2
2023;5;Energía;99,52;-0,6
2023;5;Frutas y verduras frescas;93,33;-0,3
2023;5;IPC General menos alimentos y energía;99,69;0,2
2023;5;IPC Sin volátiles;100,25;0,5
2023;5;No Transables;100,01;0,1
2023;5;Servicios;99,59;0
2023;5;Transables;99,07;0,1
2023;6;Alimentos;98,65;0,3
2023;6;Bienes;98,75;-0,5
2023;6;Energía;97,63;-1,9
2023;6;Frutas y verduras frescas;92,02;-1,4
2023;6;IPC General menos alimentos y energía;99,59;-0,1
2023;6;IPC Sin volátiles;100,24;0
2023;6;No Transables;100,41;0,4
2023;6;Servicios;99,89;0,3
2023;6;Transables;98,48;-0,6
2023;7;Alimentos;99,83;1,2
2023;7;Bienes;99,15;0,4
2023;7;Energía;96,26;-1,4
2023;7;Frutas y verduras frescas;95,33;3,6
2023;7;IPC General menos alimentos y energía;99,89;0,3
2023;7;IPC Sin volátiles;100,5;0,3
2023;7;No Transables;100,71;0,3
2023;7;Servicios;100,19;0,3
2023;7;Transables;98,87;0,4
2023;8;Alimentos;100,13;0,3
2023;8;Bienes;99,35;0,2
2023;8;Energía;97,8;1,6
2023;8;Frutas y verduras frescas;98,48;3,3
2023;8;IPC General menos alimentos y energía;99,79;-0,1
2023;8;IPC Sin volátiles;100,41;-0,1
2023;8;No Transables;100,71;0
2023;8;Servicios;100,19;0
2023;8;Transables;99,07;0,2
2023;9;Alimentos;101,13;1
2023;9;Bienes;100,05;0,7
2023;9;Energía;99,95;2,2
2023;9;Frutas y verduras frescas;105,47;7,1
2023;9;IPC General menos alimentos y energía;100,19;0,4
2023;9;IPC Sin volátiles;100,6;0,2
2023;9;No Transables;101,11;0,4
2023;9;Servicios;100,79;0,6
2023;9;Transables;99,96;0,9
2023;10;Alimentos;102,04;0,9
2023;10;Bienes;100,45;0,4
2023;10;Energía;102,65;2,7
2023;10;Frutas y verduras frescas;107,9;2,3
2023;10;IPC General menos alimentos y energía;100,19;0
